Date,basin_potet,basin_swrad,basin_temp,basin_ppt
2014-12-01, 3.953E-03, 4.723E+01,-5.166E+00, 0.000E+00
2014-12-02, 4.982E-03, 4.673E+01, 3.662E+00, 0.000E+00
2014-12-03, 6.435E-03, 5.239E+01, 9.994E+00, 0.000E+00
2014-12-04, 1.300E-02, 9.821E+01, 1.348E+01, 0.000E+00
2014-12-05, 1.590E-02, 1.163E+02, 1.509E+01, 0.000E+00
2014-12-06, 1.762E-02, 1.247E+02, 1.687E+01, 0.000E+00
2014-12-07, 2.522E-02, 1.488E+02, 2.753E+01, 0.000E+00
2014-12-08, 2.184E-02, 1.408E+02, 2.209E+01, 0.000E+00
2014-12-09, 1.421E-02, 1.061E+02, 1.414E+01, 0.000E+00
2014-12-10, 2.004E-02, 1.306E+02, 2.149E+01, 0.000E+00
2014-12-11, 2.353E-02, 1.413E+02, 2.642E+01, 0.000E+00
2014-12-12, 2.641E-02, 1.472E+02, 3.125E+01, 0.000E+00
2014-12-13, 2.642E-02, 1.469E+02, 3.136E+01, 0.000E+00
2014-12-14, 2.534E-02, 1.426E+02, 3.053E+01, 0.000E+00
2014-12-15, 2.039E-02, 1.292E+02, 2.308E+01, 0.000E+00
2014-12-16, 5.638E-03, 4.476E+01, 1.111E+01, 0.000E+00
2014-12-17, 4.890E-03, 4.208E+01, 7.344E+00, 0.000E+00
2014-12-18, 9.414E-03, 7.285E+01, 1.230E+01, 0.000E+00
2014-12-19, 1.910E-02, 1.226E+02, 2.238E+01, 0.000E+00
2014-12-20, 1.906E-02, 1.237E+02, 2.172E+01, 0.000E+00
2014-12-21, 2.157E-02, 1.341E+02, 2.425E+01, 0.000E+00
2014-12-22, 2.362E-02, 1.362E+02, 2.897E+01, 0.000E+00
2014-12-23, 1.414E-02, 8.277E+01, 2.866E+01, 1.634E-01
2014-12-24, 2.126E-02, 1.286E+02, 2.595E+01, 0.000E+00
2014-12-25, 1.936E-02, 1.231E+02, 2.293E+01, 0.000E+00
2014-12-26, 1.426E-02, 1.054E+02, 1.463E+01, 0.000E+00
2014-12-27, 1.030E-02, 8.495E+01, 9.221E+00, 0.000E+00
2014-12-28, 4.600E-03, 4.213E+01, 4.649E+00, 0.000E+00
2014-12-29, 3.203E-03, 4.228E+01,-8.240E+00, 0.000E+00
2014-12-30, 3.250E-03, 4.245E+01,-7.929E+00, 0.000E+00
2014-12-31, 4.689E-03, 4.265E+01, 4.939E+00, 0.000E+00
